# Ревизія новостныхъ плакатовъ: чистка отъ большевицкой символики.
#
# Въ модѣ только анархизмъ, Нестор Махно и Чёрная Гвардія. Недопустимы:
# «совѣты», «колхозъ», «пятилѣтка», «соціализмъ», «пролетаріи всѣхъ странъ»,
# «Москва», красныя звѣзды, серпъ и молотъ, красное знамя как символъ
# большевизма, узнаваемые Ленинъ/Сталинъ и прочіе больш. вожди.
#
# Допустимо и желательно: чёрное знамя со знакомъ Ⓐ, чёрно-красная гамма
# анархо-синдикализма (CNT-FAI), тачанки, степь, вольныя коммуны, махновцы.
#
# Столбцы: ключъ <TAB> статусъ <TAB> что было не так / что стало
#
# --- переработаны: снята совѣтская символика --------------------------------
air_squadron	redone	было «КРЕПИ СОВЕТСКУЮ АВИАЦИЮ!» + красныя звѣзды -> эскадрилья «Чёрный Буревѣстникъ»
autumn_fair	redone	было «КОЛХОЗНОЕ ПРАЗДНЕСТВО» -> вольный торгъ Гуляйполя
dnieper_electric	redone	было «ГИГАНТ ИНДУСТРИАЛИЗАЦИИ» -> свѣтъ вольной степи
donbass_syndicates	redone	было «ПЯТИЛЕТКУ В ЧЕТЫРЕ ГОДА», «ПРОЛЕТАРИИ ВСЕХ СТРАН» -> вольные синдикаты
makhno_inspection	redone	было «КРАСНАЯ КАВАЛЕРИЯ» + красная звѣзда -> Чёрная Гвардія на смотрѣ
peasant_communes	redone	было «КОЛХОЗА», «КРЕПИ ОБОРОНУ СТРАНЫ» -> вольныя коммуны
radio_tower	redone	было «ГОВОРИТ МОСКВА» -> «ГОВОРИТЪ ГУЛЯЙПОЛЕ»
tachanka	redone	было «ЗА ВЛАСТЬ СОВЕТОВ!» -> «ЗА ВОЛЬНУЮ ТЕРРИТОРІЮ!»
tachanka_charge	redone	было «ЗА ВЛАСТЬ СОВЕТОВ!» -> «ЗА АНАРХІЮ!»
war_council	redone	было «ЗА ОБОРОНУ СОВЕТОВ!» + Ленинъ/Сталинъ -> штабъ повстанческой арміи
#
# --- очередь на переработку --------------------------------------------------
anarchist_congress	todo	«ЗА ЕДИНСТВО И СОЦИАЛИЗМ!» -> вольный съѣздъ
alliance_treaty	todo	провѣрить красную гамму, добавить Ⓐ
rebirth	todo	«ПРОЛЕТАРИИ ВСЕХ СТРАН, СОЕДИНЯЙТЕСЬ!» -> лозунгъ вольныхъ коммунъ
sevastopol_fleet	todo	красныя знамёна на корабляхъ -> чёрныя
steppe_harvest	todo	красныя знамёна -> чёрныя
triumph	todo	провѣрить «ПОБЕДА ЗА РАБОЧИХ И КРЕСТЬЯН»
volunteers_arrival	todo	красная звѣзда на паровозѣ -> убрать
white_collapse	todo	опечатка «КОНТРРЕВОЛЛЮЦИИ», красное солнце
armored_train	todo	провѣрить (лозунги уже анархистскіе)
nin_rescue	todo	провѣрить красную гамму
counter_intel	todo	провѣрить
intro	todo	портретъ Батьки — провѣрить
#
# --- испанскіе: союзники-анархисты CNT-FAI, красно-чёрное допустимо ----------
barcelona_may	ok	CNT-FAI
durruti_column	ok	CNT-FAI
durruti_death	ok	CNT-FAI
franco_gates	ok	CNT-FAI
madrid_international	ok	CNT-FAI
spanish_refugees	ok	CNT-FAI
emma_goldman	ok	Эмма Гольдманъ, анархистка
#
# --- уже съ Ⓐ, совѣтчины нѣтъ ------------------------------------------------
black_flag_raised	ok	Ⓐ на знамени
black_guard_march	ok	Ⓐ на знамёнахъ
black_intl_congress	ok	Ⓐ на знамёнахъ
black_rada	ok	Ⓐ на знамени
cavalry_raid	ok	Ⓐ на знамени
